ano,clave,autores,docu,capitulo,titulo,editores,editorial,ciudad,paginas,ISBN,enlace,SPI,GS
2015,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2015_INNO_EMPREN.pdf,Learn Startup y Design Thinking: nuevos métodos para innovar en periodismo,"Innovación y periodismo: emprender en la Universidad (Cuadernos Artesanos, 76)","MANFREDI, Juan Luis (ed.)","Cuadernos Artesanos de Comunicación, Sociedad Latina de Comunicación Social",Tenerife,47 - 55,978-84-15698-93-7,,Q4,
2015,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2015_INNOVAR_UMH.pdf,Economía del periodismo: modelos de negocio en la era de las plataformas,Innovar en Periodismo,"GARCÍA AVILÉS, José Alberto; GONZÁLEZ ESTEBAN, José Luis; FERRIS, José Luis",Diego Marín,Murcia,155-170,978-84-16538-78-4,,No,
2013,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2013_MOVIL.pdf,Estrategias de distribución del contenido periodístico en dispositivos móviles: Análisis comparativo de los principales editores de prensa española,Hacia el periodismo móvil,"COLLE, Raymond (ed.)",Revista Mediterránea de Comunicación,Santiago de Chile,33 - 49,978-956-351-820-7,,No,
2013,Capítulo,"GARCÍA AVILÉS, José Alberto; GARCÍA, Alberto Nahum; CARVAJAL, Miguel; GONZÁLEZ ESTEBAN, José Luis",Investigacion_Libros_2013_Evolucion_Cibermedios.pdf,Multiplataforma en medios de matriz televisiva,Evolución de los cibermedios. De la convergencia digital a la distribución multiplataforma,"CABRERA, Mª Ángeles",Fragua,Madrid,167-175,978-84-707-4566-9,,Q3,
2011,Capítulo,"CARVAJAL, Miguel y GONZÁLEZ ESTEBAN, José Luis",Investigacion_Libros_2012_GICOV2.pdf,Prensa hiperlocal: un mercado necesario que se transforma para sobrevivir,Cuadernos comarcales de comunicación: Alto y Medio Vinalopó,"GONZÁLEZ ESTEBAN, José Luis (coordinador)",Diego Marín,Murcia,85-91,978-84-15429-04-3,,No,
2011,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2011_MPC.pdf,La crisis de la prensa: análisis del pesimismo,"Medios, política y ciudadanía","ORS, Miguel; DE LARA, Alicia; OLABE, Fernando (eds)",Diego Marín,Murcia,171 - 178,978-84-8425-982-4,,No,
2010,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2010_Crowdfunding.pdf,Crowdfunding y medios sin ánimo de lucro. Nuevos modelos para la investigación periodística,Información y Resolución de Conflictos,"GARCÍA AVILÉS, José Alberto, GONZÁLEZ MESA, Isabel; JURADO, Montserrat (eds)",Diego Marín,Murcia,207 - 214,978-84-8425-861-2,,No,
2010,Capítulo,"GARCÍA AVILÉS, José Alberto y CARVAJAL, Miguel",Investigacion_Libros_2010_Ecosis_Tirant.pdf,Convergencia de medios en la comunidad valenciana: casos y estrategias predominantes,El ecosistema comunicativo valenciano. Características y tendencias de la primera década del siglo XXI,"LÓPEZ, Guillermo (ed.)",Tirant lo Blanch,Valencia,289 - 304,978-84-9876-809-1,,Q1,
2009,Capítulo,"CARVAJAL, Miguel y JURADO, Montserrat",Investigacion_Libros_2009_GICOV1.pdf,La encrucijada de la prensa tradicional de pago: renovarse o morir,El estado de la comunicación en Elche,"GONZÁLEZ ESTEBAN, José Luis (coordinador)",Servicio de Publicaciones de la Universidad Miguel Hernández,Elche,41 - 47,,,No,
2009,Capítulo,"CARVAJAL, Miguel",,La prensa deportiva ante la encrucijada del sector,Periodismo y deporte olímpico: mirando a Pekín,"GONZÁLEZ MESA, Isabel; GONZÁLEZ, José Luis; CARVAJAL, Miguel (eds)",Diego Marín,Murcia,183 - 192,978-84-8425-696-0,,No,
2008,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2008_MEDIA_BUSINESS.pdf,Respuestas estratégicas de los diarios de pago ante la prensa gratuita: la compra de Qué! por parte de Vocento,The Changing Media Business Environment,"MEDINA, Mercedes (ed.)",Formalpress,Lisboa,304-322,978-98-98143-06-8,,No,
2008,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2008_ARQ.pdf,Cadena de favores: influencias de la propiedad del medio en la agenda informativa,La arquitectura de la información,"JURADO, Monserrat; CARVAJAL, Miguel",Diego Marín,Murcia,117 - 122,978-84-8425-615-1,,No,
2007,Capítulo,"CARVAJAL, Miguel",Investigacion_Libros_2006_Cocina.pdf,Retos de las empresas de comunicación en el nuevo escenario digital,La cocina de la información,"GARCÍA AVILÉS, José Alberto y JURADO, Montserrat (eds.)",Diego Marín,Murcia,141-147,978-84-96297-59-3,,No,
2006,Capítulo,"SÁNCHEZ-TABERNERO, A.; CARVAJAL, Miguel",Investigacion_Libros_2006_Lawrence.pdf,Strategies,The Economics of the Mass Media,"DOYLE, Gilliam (ed.)",Edward Elgar,Londres,278 - 309,978-1-85898-811-5,,Q1,
2003,Capítulo,"SÁNCHEZ-TABERNERO, A.; CARVAJAL, Miguel",Investigacion_Libros_2002_CONCEN.pdf,Empresas de comunicación y sistema político en el contexto global,Sociedad del trabajo y sociedad del conocimiento en la era de la globalización,"HERRERO, Montserrat (ed.)",Pearson Educación,Madrid,167 - 184,978-84-205-3904-X,,Q1,
2017,Capítulo de Libro,"CARVAJAL, Miguel",Investigacion_Libros_2017_DEPORTIVO.pdf,"Innovación en periodismo deportivo: claves para entenderla, analizarla y fomentarla en el nuevo paradigma industrial 83",Periodismo deportivo de manual,"ROJAS, José Luis",Tirant Lo Blanch,Valencia,83-111,978-84-167865-7-2,,Q1,
